k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
,7.0,13.0,0.3,1.0,1.0,,accuracy,0.8034458629518509,dpr,0.11766433694596296
,10.0,20.0,0.3,0.0,0.0,,accuracy,0.8504037285474411,dpr,0.1519967820857638
,10.0,20.0,0.3,0.0,1.0,,accuracy,0.7975794913669165,dpr,0.2622003223829029
,10.0,20.0,0.3,1.0,0.0,,accuracy,0.8100180851677857,dpr,0.010836319829466064
,10.0,20.0,0.3,1.0,1.0,,accuracy,0.7932491895815248,dpr,0.11872646503369955
,13.0,27.0,0.3,0.0,0.0,,accuracy,0.8493902338962218,dpr,0.15863177623900587
,13.0,27.0,0.3,0.0,1.0,,accuracy,0.7855715614697651,dpr,0.2532251011476242
,13.0,27.0,0.3,1.0,0.0,,accuracy,0.8147783340897113,dpr,0.01999622089103657
,13.0,27.0,0.3,1.0,1.0,,accuracy,0.7811489806250286,dpr,0.12526014124490822
,16.6,33.4,0.3,0.0,0.0,,accuracy,0.8492673743422247,dpr,0.1568806627870841
,16.6,33.4,0.3,0.0,1.0,,accuracy,0.7776174734258566,dpr,0.25509508634826056
,16.6,33.4,0.3,1.0,0.0,,accuracy,0.8164982688186282,dpr,0.02540893824905019
,16.6,33.4,0.3,1.0,1.0,,accuracy,0.7753756756002266,dpr,0.1309423746669654
,20.0,40.0,0.3,0.0,0.0,,accuracy,0.8495744524936143,dpr,0.16022253650836982
,20.0,40.0,0.3,0.0,1.0,,accuracy,0.7629371619641081,dpr,0.2392453443133353
,20.0,40.0,0.3,1.0,0.0,,accuracy,0.8192623541425939,dpr,0.03304030376191201
,20.0,40.0,0.3,1.0,1.0,,accuracy,0.7699087932620867,dpr,0.1375712324747263
,23.0,47.0,0.3,0.0,0.0,,accuracy,0.8499123091937463,dpr,0.16120574019010442
,23.0,47.0,0.3,0.0,1.0,,accuracy,0.7724271217534691,dpr,0.2537159733598157
,23.0,47.0,0.3,1.0,0.0,,accuracy,0.8219957269358467,dpr,0.03724907155819968
,23.0,47.0,0.3,1.0,1.0,,accuracy,0.7676971279516189,dpr,0.12933380843908368
,26.6,53.4,0.3,0.0,0.0,,accuracy,0.8505879801538484,dpr,0.1620643839601888
,26.6,53.4,0.3,0.0,1.0,,accuracy,0.7653018947929129,dpr,0.2394025230687729
,26.6,53.4,0.3,1.0,0.0,,accuracy,0.8226711856951379,dpr,0.03960170430199282
,26.6,53.4,0.3,1.0,1.0,,accuracy,0.7718740509908175,dpr,0.15684222839501405
,30.0,60.0,0.3,0.0,0.0,,accuracy,0.8497280340094712,dpr,0.1638727876477845
,30.0,60.0,0.3,0.0,1.0,,accuracy,0.7650255197410886,dpr,0.24662290577887144
,30.0,60.0,0.3,1.0,0.0,,accuracy,0.8266944659160227,dpr,0.048002534139688816
,30.0,60.0,0.3,1.0,1.0,,accuracy,0.7716282234246306,dpr,0.1465742404590502
,33.0,67.0,0.3,0.0,0.0,,accuracy,0.8496359530042165,dpr,0.16332446143407156
,33.0,67.0,0.3,0.0,1.0,,accuracy,0.7621384569737863,dpr,0.2306965243630304
,33.0,67.0,0.3,1.0,0.0,,accuracy,0.8266944329070076,dpr,0.04433565176750871
,33.0,67.0,0.3,1.0,1.0,,accuracy,0.7695709176996602,dpr,0.15239541909347715
10.0,,,0.3,0.0,0.0,,accuracy,0.8480081841608789,dpr,0.15251279117737718
10.0,,,0.3,0.0,1.0,,accuracy,0.8429100926855417,dpr,0.16561389940113586
10.0,,,0.3,1.0,0.0,,accuracy,0.8428486723396903,dpr,0.0966912573042689
10.0,,,0.3,1.0,1.0,,accuracy,0.8421423925914944,dpr,0.13265468690576626
20.0,,,0.3,0.0,0.0,,accuracy,0.8487145770828406,dpr,0.15993052555757686
20.0,,,0.3,0.0,1.0,,accuracy,0.8251895189020937,dpr,0.190384240737574
20.0,,,0.3,1.0,0.0,,accuracy,0.8384569832174623,dpr,0.07587157762588981
